企业名称,主页链接,年限,地址,交易数,主营业务
黄骅市安信电器有限公司,https://anxindianaq.1688.com/page/contactinfo.htm,15年,河北沧州,"近90天成交笔数
7
回头率
0%
综合服务分
3",冬季电器 | 两季电器配件
济南孚威石墨烯科技有限公司,https://dj.1688.com/ci_bb?a=329955656&e=MEgrlL-iygmOBBJxni.DOd.86TQ0MeAaD-tR2plhzIbETNitBaFEr4M.rRv2CFXaIGrel44cplzip6FKYBsXZoohbj4sPt6-jQ4hnTujPbHyMCU1OwdNj.oNdiNUTzwUd-eDVNuwQW1t2mjHGJnkfcxWAKFzwjgfN6HhYStQWsiz8iUkGkDAdvr7eyI6XvelpItr9e2.xJLYBshhSLyHOUB1gMUX3Bgia.Um8OI.qt.k29TZiMVjtU1ftX-ds5aBbj68zztDm.BKZCFJF7xnmorhArOArmzoACKnjL0mZvgteGN2ZgWu-UMd6hvCaOzd1QFMCRaC4fRabbp8u6IaFzCllQ1gp0BqwQYjTtOYs57MbwQffWHpU8XEH6uMoumCzAwXiJgDftx2wvbAAvvJrPwbOErevsLX95cFi2o1xe9G8dco46RLmcfWgmfsep45BpLZBGMnUvyPe.EKQNja8LF8SOp462Rwy6sJxAvCEa8-vebRCOhuFr19fNoeGFIofrDBaklSxzZpRyKYRwJhs40sfcdOzY0BcoCAxq4AJXJSgS9N4wVpWszOgcc-srk5Vf9UqXtBYi76ZV1x6TOmiIeTLHpvcBUUg84PFglJ5xgRemokSs5LMPSJ3Nk20JiJjs6fiMxm0XbZuBCB0M71.qnSCfM8nDdvTJK5K6fq.NjFWrDxxrKjZWC91Qgyry-TAK-CqNuGI1Dt4yZH.7O.h9ivmVQT.Gt1Sr6g1x09GKvjEeiV-BSiYNK3iBmx.CdcJO51NkStK52qxg4gE5pR8DGXSib2fQUYxm2un-OSokpC5uM-6mSTLRD5RXXnr.LVPSCYDdD6DZfhoPps7n7BbHnDz5MuPGB.0fje4Pb3DEVVERp4QRj0d3KM3M5U5xd7hwU6YO.-jQR9JiSr-zbBUNaL1Lda6JyMngZwn9-RkkoB5WrDsUsAVlP40Er4TafMm4MwU2yYEB2gmTpH97UtmJ2tAvEWMvGfHO5Ok9zX0X-f2vIVs2YaJGh-mPxXykyL0h48YE26zWM_&v=4&ap=1&rp=1&url=https%3A%2F%2Fhanzhengpifa.1688.com&t=1625569107655page/contactinfo.htm,12年,山东济南,"近90天成交笔数
101
回头率
17%
厂房面积
7000m²
员工人数
11-50人",电热膜 | 电热板 | 电热片
宁波拓瑞电器科技有限公司,https://dj.1688.com/ci_bb?a=329955656&e=MEgrlL-iygmOBBJxni.DOd.86TQ0MeAaD-tR2plhzIbETNitBaFEr4M.rRv2CFXaIGrel44cplzip6FKYBsXZoohbj4sPt6-jQ4hnTujPbHyMCU1OwdNj.oNdiNUTzwUd-eDVNuwQW1t2mjHGJnkfcxWAKFzwjgfN6HhYStQWsiz8iUkGkDAdvr7eyI6XvelpItr9e2.xJLYBshhSLyHOUB1gMUX3Bgia.Um8OI.qt.k29TZiMVjtU1ftX-ds5aBbj68zztDm.BKZCFJF7xnmorhArOArmzoACKnjL0mZvgteGN2ZgWu-UMd6hvCaOzd1QFMCRaC4fRabbp8u6IaFzCllQ1gp0BqwQYjTtOYs57MbwQffWHpU8XEH6uMoumCzAwXiJgDftx2wvbAAvvJrPwbOErevsLX95cFi2o1xe9G8dco46RLmcfWgmfsep45BpLZBGMnUvyPe.EKQNja8LF8SOp462Rwy6sJxAvCEa8-vebRCOhuFr19fNoeGFIofrDBaklSxzZpRyKYRwJhs40sfcdOzY0BcoCAxq4AJXJSgS9N4wVpWszOgcc-srk5Vf9UqXtBYi76ZV1x6TOmiIeTLHpvcBUUg84PFglJ5xgRemokSs5LMPSJ3Nk20JiJjs6fiMxm0XbZuBCB0M71.qnSCfM8nDdvTJK5K6fq.NjFWrDxxrKjZWC91Qgyry-TAK-CqNuGI1Dt4yZH.7O.h9ivmVQT.Gt1Sr6g1x09GKvjEeiV-BSiYNK3iBmx.CdcJO51NkStK52qxg4gE5pR8DGXSib2fQUYxm2un-OSokpC5uM-6mSTLRD5RXXnr.LVPSCYDdD6DZfhoPps7n7BbHnDz5MuPGB.0fje4Pb3DEVVERp4QRj0d3KM3M5U5xd7hwU6YO.-jQR9JiSr-zbBUNaL1Lda6JyMngZwn9-RkkoB5WrDsUsAVlP40Er4TafMm4MwU2yYEB2gmTpH97UtmJ2tAvEWMvGfHO5Ok9zX0X-f2vIVs2YaJGh-mPxXykyL0h48YE26zWM_&v=4&ap=1&rp=1&url=https%3A%2F%2Fnbtuorui.1688.com&t=1625569107655page/contactinfo.htm,4年,浙江宁波,"近90天成交笔数
41
回头率
24%
综合服务分
4",冬季电器 | 家用电炸锅
宁波远游电器有限公司,https://dj.1688.com/ci_bb?a=329955656&e=MEgrlL-iygmOBBJxni.DOd.86TQ0MeAaD-tR2plhzIbETNitBaFEr4M.rRv2CFXaIGrel44cplzip6FKYBsXZoohbj4sPt6-jQ4hnTujPbHyMCU1OwdNj.oNdiNUTzwUd-eDVNuwQW1t2mjHGJnkfcxWAKFzwjgfN6HhYStQWsiz8iUkGkDAdvr7eyI6XvelpItr9e2.xJLYBshhSLyHOUB1gMUX3Bgia.Um8OI.qt.k29TZiMVjtU1ftX-ds5aBbj68zztDm.BKZCFJF7xnmorhArOArmzoACKnjL0mZvgteGN2ZgWu-UMd6hvCaOzd1QFMCRaC4fRabbp8u6IaFzCllQ1gp0BqwQYjTtOYs57MbwQffWHpU8XEH6uMoumCzAwXiJgDftx2wvbAAvvJrPwbOErevsLX95cFi2o1xe9G8dco46RLmcfWgmfsep45BpLZBGMnUvyPe.EKQNja8LF8SOp462Rwy6sJxAvCEa8-vebRCOhuFr19fNoeGFIofrDBaklSxzZpRyKYRwJhs40sfcdOzY0BcoCAxq4AJXJSgS9N4wVpWszOgcc-srk5Vf9UqXtBYi76ZV1x6TOmiIeTLHpvcBUUg84PFglJ5xgRemokSs5LMPSJ3Nk20JiJjs6fiMxm0XbZuBCB0M71.qnSCfM8nDdvTJK5K6fq.NjFWrDxxrKjZWC91Qgyry-TAK-CqNuGI1Dt4yZH.7O.h9ivmVQT.Gt1Sr6g1x09GKvjEeiV-BSiYNK3iBmx.CdcJO51NkStK52qxg4gE5pR8DGXSib2fQUYxm2un-OSokpC5uM-6mSTLRD5RXXnr.LVPSCYDdD6DZfhoPps7n7BbHnDz5MuPGB.0fje4Pb3DEVVERp4QRj0d3KM3M5U5xd7hwU6YO.-jQR9JiSr-zbBUNaL1Lda6JyMngZwn9-RkkoB5WrDsUsAVlP40Er4TafMm4MwU2yYEB2gmTpH97UtmJ2tAvEWMvGfHO5Ok9zX0X-f2vIVs2YaJGh-mPxXykyL0h48YE26zWM_&v=4&ap=1&rp=1&url=https%3A%2F%2Fjisongsj.1688.com&t=1625569107655page/contactinfo.htm,10年,浙江宁波,"近90天成交笔数
381
回头率
36%
综合服务分
3.5",夏季电器 | 冬季电器
东莞市富士艾电器科技有限公司,https://fushiai.1688.com/page/contactinfo.htm,3年,广东东莞,"近90天成交笔数
94
回头率
11%
厂房面积
7436m²
员工人数
51-100人",电风扇 | 夏季电器 | 冬季电器
沧县宝盛电器设备厂,https://shop1399914025032.1688.com/page/contactinfo.htm,8年,河北沧州,"近90天成交笔数
26
回头率
26%
综合服务分
3",冬季电器 | 家用采暖炉
山东暖康新能源科技有限公司,https://shop1410248201821.1688.com/page/contactinfo.htm,7年,山东德州,"近90天成交笔数
2
回头率
0%
厂房面积
3000m²
员工人数
11-50人",电热线 | 冬季电器 | 电热板
沧县科邦电器设备厂,https://shop1433956319301.1688.com/page/contactinfo.htm,7年,河北沧州,"近90天成交笔数
9
回头率
29%
综合服务分
3",电热锅炉 | 冬季电器
沧州沃盛源节能电器设备有限公司,https://wsydcn.1688.com/page/contactinfo.htm,6年,河北沧州,"近90天成交笔数
6
回头率
50%
厂房面积
800m²
员工人数
11-50人",其他取暖电器 | 冬季电器
河北环诺节能科技有限公司,https://hnjnkj.1688.com/page/contactinfo.htm,9年,河北沧州,"近90天成交笔数
31
回头率
15%
综合服务分
4.5",冬季电器 | 其他取暖电器
